1980,2467
1981,2887
1982,2852
1983,3219
1984,2977
1985,2573
1986,2548
1987,2224
1988,2284
1989,2176
1990,2304
1991,2378
1992,2496
1993,3133
1994,3587
1995,3806
1996,4316
1997,3824
1998,3582
1999,3512
2000,3193
2001,2990
2002,3393
2003,3573
2004,3775
2005,3603
2006,3525
2007,3085
2008,2584
2009,2155
2010,1733
2011,1923
2012,2177
2013,2251
2014,2385
2015,2229
2016,1890
2017,1610
2018,1819
2019,1757
2020,1808
2021,2059
2022,1364
